parent_id,source_file,status,attempt,message,reference_formula,source_formula,cleaned_formula,source_num_sites,dropped_species_count,dropped_occupancy_sum,grouping_method,candidate_method,split_site_pair_count,split_site_cluster_count,split_site_species,supercell_multiplier,supercell_matrix,occupancy_max_error,occupancy_mean_error,within_error_tolerance,source_composition_max_error,composition_max_error,composition_max_drift,within_composition_tolerance,missing_reference_elements,candidate_index,energy_rank,num_atoms,ordered_formula,ranker,relaxed,converged,relaxation_steps,relaxation_seconds,total_energy_ev,energy_per_atom_ev,output_file
1xf,/root/Mattergen/OBELIX/cifs/1xf.cif,ok,0,,Li9 Al3 Ge9 P18 O72,Li2.968 Al0.96 Ge3.04 P6 O24,Li2.968 Al0.96 Ge3.04 P6 O24,48,0,0.0,spacegroup,random,0,0,,3,1x3x1,0.016666666666666663,0.00595061728395062,True,0.0011522017581312022,0.0,0.0,True,,7,1,111,Li9 Al3 Ge9 P18 O72,mattersim,True,True,173,76.97756984200169,-760.4246826171875,-6.850672816371058,/root/Mattergen/results/obelix_random10_321/cifs/1xf_ordered.cif
1xt,/root/Mattergen/OBELIX/cifs/1xt.cif,copied_ordered,0,,Li8 Sb8 O16,Li8 Sb8 O16,Li8 Sb8 O16,32,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,32,Li8 Sb8 O16,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/1xt_ordered.cif
20k,/root/Mattergen/OBELIX/cifs/20k.cif,ok,0,,Sr8 Li48 La16 Nb16 O96,Sr3.996 Li23.976 La8.004 Nb8 O48,Sr3.996 Li23.976 La8.004 Nb8 O48,128,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.006666666666666654,0.002291666666666664,True,0.00019286694827752582,0.0,0.0,True,,0,1,92,Sr4 Li24 La8 Nb8 O48,mattersim,True,True,54,20.100537317001,-651.276611328125,-7.079093601392663,/root/Mattergen/results/obelix_random10_321/cifs/20k_ordered.cif
240,/root/Mattergen/OBELIX/cifs/240.cif,approximation_warning,0,Occupancy error 0.053333 exceeds tolerance 0.050000,Li64 Ge8 P32,Li64.016 Ge8 P32,Li64.016 Ge8 P32,120,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.053333333333333344,0.01035897435897436,False,5.916249571091825e-05,0.0,0.0,True,,3,1,104,Li64 Ge8 P32,mattersim,True,True,63,19.64340670999809,-391.86541748046875,-3.7679367065429688,/root/Mattergen/results/obelix_random10_321/cifs/240_ordered.cif
24k,/root/Mattergen/OBELIX/cifs/24k.cif,ok,0,,Li28 Ge12 P4 S48,Li3.4608 Ge1.5402 P0.499 S6,Li3.4608 Ge1.5402 P0.499 S6,19,0,0.0,spacegroup,random,0,0,,2,1x2x1,0.0032666666666666955,0.0010666666666666706,True,0.0034956521739130386,0.0,0.0,True,,9,1,23,Li7 Ge3 P1 S12,mattersim,True,True,82,21.04000716900191,-99.88082885742188,-4.342644732931386,/root/Mattergen/results/obelix_random10_321/cifs/24k_ordered.cif
2d1,/root/Mattergen/OBELIX/cifs/2d1.cif,ok,0,,Li44 La24 Y2 Nb14 O96,Li22.01616 La12 Y1 Nb7 O48,Li22.01616 La12 Y1 Nb7 O48,152,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.031333333333333324,0.009300666666666665,True,0.0001356398426436145,0.0,0.0,True,,9,1,90,Li22 La12 Y1 Nb7 O48,mattersim,True,True,104,38.41690637300053,-662.0220336914062,-7.355800374348958,/root/Mattergen/results/obelix_random10_321/cifs/2d1_ordered.cif
2r7,/root/Mattergen/OBELIX/cifs/2r7.cif,approximation_warning,0,Occupancy error 0.117000 exceeds tolerance 0.050000,Li12 Cr4 Mo12 O48,Li12.004 Cr3.996 Mo12 O48,Li12.004 Cr3.996 Mo12 O48,76,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.11699999999999999,0.025,False,5.263157894744297e-05,0.0,0.0,True,,3,1,76,Li12 Cr4 Mo12 O48,mattersim,True,True,47,20.807366637000086,-514.7801513671875,-6.7734230443050985,/root/Mattergen/results/obelix_random10_321/cifs/2r7_ordered.cif
2t8,/root/Mattergen/OBELIX/cifs/2t8.cif,ok,0,,Li2 V2 P2 O8 F2,Li2 V2 P2 O8 F2,Li2 V2 P2 O8 F2,18,0,0.0,spacegroup+split_site_pairs,random,2,0,Li,1,1x1x1,0.0,0.0,True,0.0,0.0,0.0,True,,0,1,16,Li2 V2 P2 O8 F2,mattersim,True,True,29,4.467352733001462,-111.39995574951172,-6.962497234344482,/root/Mattergen/results/obelix_random10_321/cifs/2t8_ordered.cif
2uv,/root/Mattergen/OBELIX/cifs/2uv.cif,copied_ordered,0,,Li16 Sn4 Se16,Li16 Sn4 Se16,Li16 Sn4 Se16,36,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,36,Li16 Sn4 Se16,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/2uv_ordered.cif
2wb,/root/Mattergen/OBELIX/cifs/2wb.cif,ok,0,,Li52.8 La24 Zr12.8 Ta3.2 O96,Li26.4 La12 Zr6.4 Ta1.6 O48,Li26.4 La12 Zr6.4 Ta1.6 O48,128,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.050000000000000044,0.023125000000000007,True,1.1102230246251565e-16,0.004638715432649418,0.004638715432649404,True,,8,1,95,Li27 La12 Zr6 Ta2 O48,mattersim,True,True,89,34.76735302999805,-686.860595703125,-7.230111533717105,/root/Mattergen/results/obelix_random10_321/cifs/2wb_ordered.cif
3nb,/root/Mattergen/OBELIX/cifs/3nb.cif,ok,0,,Li2 Ce1 Sm1 Mo4 O16,Li1 Ce0.5 Sm0.5 Mo2 O8,Li1 Ce0.5 Sm0.5 Mo2 O8,12,0,0.0,spacegroup,random,0,0,,2,1x2x1,0.0,0.0,True,0.0,0.0,0.0,True,,0,1,24,Li2 Ce1 Sm1 Mo4 O16,mattersim,True,True,47,10.956245189001493,-173.12086486816406,-7.213369369506836,/root/Mattergen/results/obelix_random10_321/cifs/3nb_ordered.cif
3rh,/root/Mattergen/OBELIX/cifs/3rh.cif,ok,0,,Li52 La24 Y6 Nb10 O96,Li26.00016 La12 Y3 Nb5 O48,Li26.00016 La12 Y3 Nb5 O48,152,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.03833333333333333,0.010833999999999993,True,1.231324296413483e-06,0.0,0.0,True,,1,1,94,Li26 La12 Y3 Nb5 O48,mattersim,True,True,99,39.50062985400291,-668.7515869140625,-7.1143785841921545,/root/Mattergen/results/obelix_random10_321/cifs/3rh_ordered.cif
3rx,/root/Mattergen/OBELIX/cifs/3rx.cif,copied_ordered,0,,Li2 Nd2 Ti2 O8,Li2 Nd2 Ti2 O8,Li2 Nd2 Ti2 O8,14,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,14,Li2 Nd2 Ti2 O8,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/3rx_ordered.cif
3uq,/root/Mattergen/OBELIX/cifs/3uq.cif,ok,0,,Li7.8 Al1.8 Ge10.2 P18 O72,Li2.468 Al0.476 Ge3.524 P6 O24,Li2.468 Al0.476 Ge3.524 P6 O24,48,0,0.0,spacegroup,random,0,0,,2,1x2x1,0.020000000000000018,0.005925925925925924,True,0.0037364893902042118,0.002994236095516134,0.0,True,,0,1,73,Li5 Al1 Ge7 P12 O48,mattersim,True,True,146,69.7610807960009,-498.79412841796875,-6.8327962796982025,/root/Mattergen/results/obelix_random10_321/cifs/3uq_ordered.cif
3zo,/root/Mattergen/OBELIX/cifs/3zo.cif,ok,0,,Li24.9 Si0.9 P3.1 S20 Br4,Li6.22506 Si0.225 P0.775 S5 Br1,Li6.22506 Si0.225 P0.775 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,random,0,6,Li,5,5x1x1,0.03,0.021273703703703687,True,2.401352736880469e-06,0.009160971353787961,0.00915857000105108,True,,5,1,65,Li30 Si1 P4 S25 Br5,mattersim,True,True,31,8.987849578999885,-268.14190673828125,-4.125260103665865,/root/Mattergen/results/obelix_random10_321/cifs/3zo_ordered.cif
419,/root/Mattergen/OBELIX/cifs/419.cif,ok,0,,Li42.4 La24 Sm1.2 Ta14.8 O96,Li21.264 La12 Sm0.6 Ta7.4 O48,Li21.264 La12 Sm0.6 Ta7.4 O48,152,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.050000000000000044,0.02053333333333336,True,0.0005465723882880635,0.0045094976570766365,0.004504674959532919,True,,7,1,89,Li21 La12 Sm1 Ta7 O48,mattersim,True,True,51,18.79344740200031,-676.4052124023438,-7.600058566318469,/root/Mattergen/results/obelix_random10_321/cifs/419_ordered.cif
472,/root/Mattergen/OBELIX/cifs/472.cif,ok,0,,Li28 Nd10 Si22 N38 O14 F4,Li28 Nd10 Si22 N38 O14 F4,Li28 Nd10 Si22 N38 O14 F4,116,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.0,0.0,True,0.0,0.0,0.0,True,,5,1,116,Li28 Nd10 Si22 N38 O14 F4,mattersim,True,True,43,17.577779881001334,-803.6309204101562,-6.92785276215652,/root/Mattergen/results/obelix_random10_321/cifs/472_ordered.cif
47i,/root/Mattergen/OBELIX/cifs/47i.cif,copied_ordered,0,,Li8 P4 O14,Li8 P4 O14,Li8 P4 O14,26,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,26,Li8 P4 O14,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/47i_ordered.cif
4ba,/root/Mattergen/OBELIX/cifs/4ba.cif,copied_ordered,0,,Li6 Ge12 P18 O72,Li2 Ge4 P6 O24,Li2 Ge4 P6 O24,36,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,36,Li2 Ge4 P6 O24,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/4ba_ordered.cif
4ea,/root/Mattergen/OBELIX/cifs/4ea.cif,ok,0,,Li6 Ti2.4 Sn9.6 P18 O72,Li2 Ti0.8 Sn3.2 P6 O24,Li2 Ti0.8 Sn3.2 P6 O24,36,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.050000000000000044,0.016666666666666673,True,0.0,0.005555555555555564,0.005555555555555564,True,,0,1,36,Li2 Ti1 Sn3 P6 O24,mattersim,True,True,46,7.707314654002403,-253.0975341796875,-7.030487060546875,/root/Mattergen/results/obelix_random10_321/cifs/4ea_ordered.cif
4ie,/root/Mattergen/OBELIX/cifs/4ie.cif,ok,0,,Li48.4 La24 Zr16 Ga2 O94.4 F1.6,Li23.64 La12 Zr8 Ga2.28 O47.184 F0.816,Li23.64 La12 Zr8 Ga2.28 O47.184 F0.816,128,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.023333333333333345,0.0072083333333333305,True,0.013546365823164283,0.010546982010775271,0.002385008517887477,True,,3,1,94,Li24 La12 Zr8 Ga2 O47 F1,mattersim,True,True,50,20.101084984999034,-673.7465209960938,-7.167516180809508,/root/Mattergen/results/obelix_random10_321/cifs/4ie_ordered.cif
4kt,/root/Mattergen/OBELIX/cifs/4kt.cif,copied_ordered,0,,Li8 Cr4 Cl16,Li4 Cr2 Cl8,Li4 Cr2 Cl8,14,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,14,Li4 Cr2 Cl8,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/4kt_ordered.cif
4p7,/root/Mattergen/OBELIX/cifs/4p7.cif,copied_ordered,0,,Li3 Cl1 O1,Li3 Cl1 O1,Li3 Cl1 O1,5,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,5,Li3 Cl1 O1,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/4p7_ordered.cif
4xq,/root/Mattergen/OBELIX/cifs/4xq.cif,approximation_warning,0,Occupancy error 0.085000 exceeds tolerance 0.050000,Na0.46 Li0.04 La0.5 Nb2 O6,Na0.46 Li0.04 La0.5 Nb2 O4,Na0.46 Li0.04 La0.5 Nb2 O4,7,0,0.0,spacegroup,random,0,0,,8,4x2x1,0.08500000000000002,0.028333333333333335,False,0.09523809523809523,0.09523809523809523,0.012142857142857141,True,,3,1,56,Na3 Li1 La4 Nb16 O32,mattersim,True,True,24,6.58654205700077,-467.9623107910156,-8.35646983555385,/root/Mattergen/results/obelix_random10_321/cifs/4xq_ordered.cif
5bz,/root/Mattergen/OBELIX/cifs/5bz.cif,copied_ordered,0,,Li12 B4 N8,Li12 B4 N8,Li12 B4 N8,24,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,24,Li12 B4 N8,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/5bz_ordered.cif
5wz,/root/Mattergen/OBELIX/cifs/5wz.cif,ok,0,,Li24 P4 S20 I4,Li6 P1 S5 I1,Li6 P1 S5 I1,25,0,0.0,spacegroup+split_site_clusters,random,0,6,Li,2,1x2x1,0.010000000000000009,0.0025000000000000022,True,5.551115123125783e-17,0.0,0.0,True,,7,1,26,Li12 P2 S10 I2,mattersim,True,True,25,7.924983879998763,-105.75814819335938,-4.067621084359976,/root/Mattergen/results/obelix_random10_321/cifs/5wz_ordered.cif
5z0,/root/Mattergen/OBELIX/cifs/5z0.cif,copied_ordered,0,,Li40 Al8 O32,Li40 Al8 O32,Li40 Al8 O32,80,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,80,Li40 Al8 O32,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/5z0_ordered.cif
5zv,/root/Mattergen/OBELIX/cifs/5zv.cif,copied_ordered,0,,Li16 Zn4 P8 O32,Li16 Zn4 P8 O32,Li16 Zn4 P8 O32,60,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,60,Li16 Zn4 P8 O32,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/5zv_ordered.cif
68u,/root/Mattergen/OBELIX/cifs/68u.cif,ok,0,,Li40 La24 Nb16 O96,Li20.004 La12 Nb8 O48,Li20.004 La12 Nb8 O48,92,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.00033333333333340764,6.060606060606907e-05,True,3.5122370470846986e-05,0.0,0.0,True,,3,1,88,Li20 La12 Nb8 O48,mattersim,True,True,71,24.297335981998913,-657.1714477539062,-7.467857360839844,/root/Mattergen/results/obelix_random10_321/cifs/68u_ordered.cif
6du,/root/Mattergen/OBELIX/cifs/6du.cif,ok,0,,Li10.14 Mg0.8 Ti13.07 O32,Li2.5352967 Mg0.19996803 Ti3.26473526 O8,Li2.54096274 Mg0.168 Ti3.29103726 O8,14,4,0.031968031968031975,spacegroup,random,0,0,,4,1x2x2,0.041000000000000036,0.02050372608257804,True,0.00015581123546534736,0.0035739791363787066,0.0035737120022834284,True,,6,1,56,Li10 Mg1 Ti13 O32,mattersim,True,True,24,13.087993859000562,-439.0208740234375,-7.839658464704241,/root/Mattergen/results/obelix_random10_321/cifs/6du_ordered.cif
6jf,/root/Mattergen/OBELIX/cifs/6jf.cif,ok,0,,Li24 P4 S20 Br4,Li6.006 P1 S5 Br1,Li6.006 P1 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,random,0,6,Li,6,1x3x2,0.026666666666666644,0.014749999999999978,True,0.0002484060611078198,0.0,0.0,True,,9,1,78,Li36 P6 S30 Br6,mattersim,True,True,49,11.000745018001908,-320.63275146484375,-4.11067630083133,/root/Mattergen/results/obelix_random10_321/cifs/6jf_ordered.cif
6l9,/root/Mattergen/OBELIX/cifs/6l9.cif,ok,0,,Li32 B56 Cl8 O96,Li8.15 B14 Cl2 O24,Li8.15 B14 Cl2 O24,54,0,0.0,spacegroup,random,0,0,,2,1x2x1,0.020333333333333425,0.005958333333333359,True,0.0025960539979231756,0.0,0.0,True,,9,1,96,Li16 B28 Cl4 O48,mattersim,True,True,40,16.50949030800257,-690.9517822265625,-7.197414398193359,/root/Mattergen/results/obelix_random10_321/cifs/6l9_ordered.cif
7cr,/root/Mattergen/OBELIX/cifs/7cr.cif,copied_ordered,0,,Na2 Li4 B2 P4 O16,Na2 Li4 B2 P4 O16,Na2 Li4 B2 P4 O16,28,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,28,Na2 Li4 B2 P4 O16,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/7cr_ordered.cif
7e5,/root/Mattergen/OBELIX/cifs/7e5.cif,ok,0,,Li0.2 La2.6 Mg2 W2 O12,Li0.2 La2.6 Mg2 W2 O12,Li0.2 La2.6 Mg2 W2 O12,20,0,0.0,spacegroup,random,0,0,,5,5x1x1,0.03500000000000003,0.014000000000000012,True,0.0,1.1102230246251565e-16,1.1102230246251565e-16,True,,5,1,94,Li1 La13 Mg10 W10 O60,mattersim,True,True,55,20.989643037999485,-707.7823486328125,-7.529599453540558,/root/Mattergen/results/obelix_random10_321/cifs/7e5_ordered.cif
7ek,/root/Mattergen/OBELIX/cifs/7ek.cif,ok,0,,Li14.8 Ge3.4 W0.6 O16,Li14.8 Ge3.4 W0.6 O16,Li14.8 Ge3.4 W0.6 O16,56,0,0.0,spacegroup+split_site_pairs,random,4,0,Li,2,2x1x1,0.03500000000000003,0.01238095238095239,True,5.551115123125783e-17,0.004997501249375369,0.0049975012493753135,True,,8,1,69,Li29 Ge7 W1 O32,mattersim,True,True,121,50.45704216200102,-389.7958679199219,-5.649215477100317,/root/Mattergen/results/obelix_random10_321/cifs/7ek_ordered.cif
7o7,/root/Mattergen/OBELIX/cifs/7o7.cif,ok,0,,Ba8 Li48 La16 Ta16 O96,Ba3.9996 Li24.0 La8.0004 Ta8 O48,Ba3.9996 Li24.0 La8.0004 Ta8 O48,104,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.006666666666666654,0.0025083333333333346,True,4.3478260869506125e-06,0.0,0.0,True,,5,1,92,Ba4 Li24 La8 Ta8 O48,mattersim,True,True,83,30.57634187900112,-674.0326538085938,-7.326441889223845,/root/Mattergen/results/obelix_random10_321/cifs/7o7_ordered.cif
7tu,/root/Mattergen/OBELIX/cifs/7tu.cif,ok,0,,Li20.4 Si1.92 Sn0.48 P3.6 S24,Li20.4 Si2 Sn0.5 P3.5 S24,Li20.4 Si2 Sn0.5 P3.5 S24,62,0,0.0,spacegroup,random,0,0,,2,1x2x1,0.030000000000000027,0.007142857142857145,True,0.001984126984127005,0.0021216407355021255,0.0011786892975012009,True,,1,1,101,Li41 Si4 Sn1 P7 S48,mattersim,True,True,80,23.14721445000032,-440.79949951171875,-4.364351480314047,/root/Mattergen/results/obelix_random10_321/cifs/7tu_ordered.cif
7w5,/root/Mattergen/OBELIX/cifs/7w5.cif,ok,0,,Li54 La24 Zr14 Ta2 O96,Li27 La12 Zr7 Ta1 O48,Li27 La12 Zr7 Ta1 O48,128,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.016666666666666663,0.005208333333333329,True,2.220446049250313e-16,0.0,0.0,True,,5,1,95,Li27 La12 Zr7 Ta1 O48,mattersim,True,True,84,32.39206063000165,-685.27294921875,-7.213399465460526,/root/Mattergen/results/obelix_random10_321/cifs/7w5_ordered.cif
824,/root/Mattergen/OBELIX/cifs/824.cif,ok,0,,Li20.7 Ge2.7 P3.3 S24,Li20.74 Ge2.7 P3.3 S24,Li20.74 Ge2.7 P3.3 S24,62,0,0.0,spacegroup,random,0,0,,2,1x2x1,0.050000000000000044,0.013130769230769232,True,0.0004664690392837123,0.0042181732966196095,0.004166861702298394,True,,5,1,101,Li41 Ge5 P7 S48,mattersim,True,True,45,12.5463024769997,-433.2772521972656,-4.289873784131343,/root/Mattergen/results/obelix_random10_321/cifs/824_ordered.cif
