filename,material_id,formula,is_ordered,conventional_num_sites,conventional_effective_atoms,primitive_num_sites,primitive_effective_atoms,parse_status,error,Ionic conductivity (S cm-1),has_fractional_occupancy,fractional_occupancy_row_count,disordered_asymmetric_site_count,disordered_position_multiplicity_sum,disordered_element_count,disordered_elements,mixed_site_count_sum_1,vacancy_site_count,overoccupied_site_count,disordered_site_details,ordering_batch_status,ordered_candidate_count,geometry_valid_candidate_count,selected_ordered_file,selected_ordered_formula,selected_ordered_num_atoms,ordering_supercell_multiplier,ordering_composition_max_drift,ordering_split_pair_count,ordering_split_cluster_count,geometry_min_distance_angstrom,geometry_min_distance_pair,geometry_min_radius_ratio,geometry_min_radius_pair,geometry_min_li_li_distance_angstrom,geometry_issues,geometry_error_candidate_count,best_error_file,ordering_result_summary
1ty.cif,1ty,Li16.0 Ge4 Se4.232 S11.768,False,48,36,48,36,ok,,8.5e-06,True,9,6,40,3,Li;S;Se,3,3,0,Li@0.5[m=8];Li@0.21[m=8];Li@0.79[m=8];S@0.689+Se@0.311[m=8];S@0.766+Se@0.234[m=4];S@0.798+Se@0.202[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/1ty_ordered.cif,Li32 Ge8 Se9 S23,72,2,0.007444444444444531,12,0,2.00036562,Ge-S,0.83348568,Ge-Se,2.89825280,,0,,成功有序化（5/5 个候选通过几何检查）
1xf.cif,1xf,Li8.904 Al2.88 Ge9.12 P18 O72,False,144,110.904,48,36.968,ok,,0.000336,True,4,3,54,3,Al;Ge;Li,1,2,0,Li@0.139[m=36];Li@0.65[m=6];Al@0.24+Ge@0.76[m=12],geometry_ok,5,5,OBELIX/ordered_cifs/1xf_ordered.cif,Li9 Al3 Ge9 P18 O72,111,3,0.0,0,0,1.59738380,Ge-O,0.80955884,Li-Li,2.07247064,,0,,成功有序化（5/5 个候选通过几何检查）
1xt.cif,1xt,Li8 Sb8 O16,True,32,32,32,32,ok,,<1E-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/1xt_ordered.cif,Li8 Sb8 O16,32,,0.0,0,0,1.87823266,O-Sb,0.91621105,O-Sb,2.92744806,,0,,原始 CIF 已完全有序，并通过几何检查
20k.cif,20k,Sr7.992 Li47.952 La16.008 Nb16 O96,False,256,183.952,128,91.976,ok,,3.69e-06,True,4,3,144,3,La;Li;Sr,1,2,0,Li@0.352[m=96];Li@0.59[m=24];La@0.667+Sr@0.333[m=24],manual_review,5,0,,Sr4 Li24 La8 Nb8 O48,92,1,0.0,0,0,1.66717329,Li-Li,0.65123956,Li-Li,1.66717329,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/20k_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
240.cif,240,Li64.016 Ge8 P32,False,120,104.016,120,104.016,ok,,8.6e-05,True,3,3,54,1,Li,0,3,0,Li@0.78[m=6];Li@0.887[m=24];Li@0.502[m=24],geometry_ok,5,5,OBELIX/ordered_cifs/240_ordered.cif,Li128 Ge16 P64,208,2,0.0,0,0,2.16114413,Ge-P,0.89959056,Li-Li,2.30295183,,0,,成功有序化（5/5 个候选通过几何检查）
24k.cif,24k,Li13.8432 Ge6.1608 P1.996 S24,False,76,46,19,11.5,ok,,0.00011,True,4,2,52,3,Ge;Li;P,1,1,0,Ge@0.0866+Li@0.2884[m=48];Ge@0.501+P@0.499[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/24k_ordered.cif,Li7 Ge3 P1 S12,23,2,0.0,0,0,2.15732403,P-S,0.85743858,Li-Li,2.19504276,,0,,成功有序化（5/5 个候选通过几何检查）
2d1.cif,2d1,Li44.03232 La24 Y2 Nb14 O96,False,304,180.03232,152,90.01616,ok,,9.18e-05,True,5,4,184,3,Li;Nb;Y,1,3,0,Li@0.18867[m=96];Li@0.139[m=48];Li@0.802[m=24];Nb@0.875+Y@0.125[m=16],manual_review,5,0,,Li22 La12 Y1 Nb7 O48,90,1,0.0,0,0,0.41322035,Li-Li,0.16141420,Li-Li,0.41322035,distance<0.8;radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/2d1_ordered.cif,未通过几何检查（0/5 个候选通过；原因：distance<0.8;radius_ratio<0.75;Li-Li<1.8）
2r7.cif,2r7,Li12.004 Cr3.996 Mo12 O48,False,76,76,76,76,ok,,3.19e-09,True,4,2,12,2,Cr;Li,2,0,0,Cr@0.308+Li@0.692[m=8];Cr@0.383+Li@0.617[m=4],manual_review,5,0,,Li24 Cr8 Mo24 O96,152,2,0.0,0,0,1.55343055,Mo-O,0.70610479,Mo-O,2.59891564,radius_ratio<0.75,5,OBELIX/ordered_cifs/erro/2r7_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75）
2t8.cif,2t8,Li2 V2 P2 O8 F2,False,18,16,18,16,ok,,8.1e-07,True,2,2,4,1,Li,0,2,0,Li@0.5[m=2];Li@0.5[m=2],geometry_ok,1,1,OBELIX/ordered_cifs/2t8_ordered.cif,Li2 V2 P2 O8 F2,16,1,0.0,2,0,1.48559272,O-P,0.85872412,O-P,3.55165806,,0,,成功有序化（1/1 个候选通过几何检查）
2uv.cif,2uv,Li16 Sn4 Se16,True,36,36,36,36,ok,,2e-05,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/2uv_ordered.cif,Li16 Sn4 Se16,36,,0.0,0,0,2.35233854,Se-Sn,0.90823882,Se-Sn,2.96379256,,0,,原始 CIF 已完全有序，并通过几何检查
2wb.cif,2wb,Li52.8 La24 Zr12.8 Ta3.2 O96,False,256,188.8,128,94.4,ok,,0.00047,True,4,3,136,3,Li;Ta;Zr,1,2,0,Li@0.96[m=24];Li@0.31[m=96];Ta@0.2+Zr@0.8[m=16],manual_review,5,0,,Li27 La12 Zr6 Ta2 O48,95,1,0.004638715432649404,0,0,1.17378349,Li-Li,0.45850918,Li-Li,1.17378349,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/2wb_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
3nb.cif,3nb,Li2 Ce1 Sm1 Mo4 O16,False,24,24,12,12,ok,,1.8e-10,True,3,1,4,3,Ce;Li;Sm,1,0,0,Ce@0.25+Li@0.5+Sm@0.25[m=4],manual_review,3,0,,Li2 Ce1 Sm1 Mo4 O16,24,2,0.0,0,0,1.81506406,Ce-O,0.67224595,Ce-O,5.25460000,radius_ratio<0.75,3,OBELIX/ordered_cifs/erro/3nb_ordered.cif,未通过几何检查（0/3 个候选通过；原因：radius_ratio<0.75）
3rh.cif,3rh,Li52.00032 La24 Y6 Nb10 O96,False,304,188.00032,152,94.00016,ok,,0.00027,True,5,4,184,3,Li;Nb;Y,1,3,0,Li@0.27417[m=96];Li@0.2625[m=48];Li@0.545[m=24];Nb@0.625+Y@0.375[m=16],manual_review,5,0,,Li26 La12 Y3 Nb5 O48,94,1,0.0,0,0,0.65172203,Li-Li,0.25457892,Li-Li,0.65172203,distance<0.8;radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/3rh_ordered.cif,未通过几何检查（0/5 个候选通过；原因：distance<0.8;radius_ratio<0.75;Li-Li<1.8）
3rx.cif,3rx,Li2 Nd2 Ti2 O8,True,14,14,14,14,ok,,<1E-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/3rx_ordered.cif,Li2 Nd2 Ti2 O8,14,,0.0,0,0,1.74571091,O-Ti,0.77243846,O-Ti,2.64917556,,0,,原始 CIF 已完全有序，并通过几何检查
3uq.cif,3uq,Li7.404 Al1.428 Ge10.572 P18 O72,False,144,109.404,48,36.468,ok,,8.24e-05,True,4,3,54,3,Al;Ge;Li,1,2,0,Li@0.73[m=6];Li@0.084[m=36];Al@0.119+Ge@0.881[m=12],geometry_ok,5,4,OBELIX/ordered_cifs/3uq_ordered.cif,Li5 Al1 Ge7 P12 O48,73,2,0.0,0,0,1.33384260,O-P,0.76648563,Al-O,2.73996729,,1,OBELIX/ordered_cifs/erro/3uq_ordered.cif,成功有序化（4/5 个候选通过几何检查）
3zo.cif,3zo,Li24.90024 Si0.9 P3.1 S20 Br4,False,100,52.90024,25,13.22506,ok,,0.00108,True,8,5,84,5,Br;Li;P;S;Si,3,2,0,Li@0.44938[m=48];Li@0.13875[m=24];P@0.775+Si@0.225[m=4];Br@0.17+S@0.83[m=4];Br@0.83+S@0.17[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/3zo_ordered.cif,Li30 Si1 P4 S25 Br5,65,5,0.00915857000105108,0,6,2.16352484,P-S,0.91152516,Li-Li,2.33350441,,0,,成功有序化（5/5 个候选通过几何检查）
419.cif,419,Li42.528 La24 Sm1.2 Ta14.8 O96,False,304,178.528,152,89.264,ok,,7.11e-06,True,5,4,184,3,Li;Sm;Ta,1,3,0,Li@0.181[m=48];Li@0.718[m=24];Li@0.173[m=96];Sm@0.075+Ta@0.925[m=16],manual_review,5,0,,Li21 La12 Sm1 Ta7 O48,89,1,0.004504674959532919,0,0,1.45134557,Li-Li,0.56693186,Li-Li,1.45134557,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/419_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
472.cif,472,Li28 Nd10 Si22 N38 O14 F4,False,116,116,116,116,ok,,1.7e-10,True,6,3,8,2,F;O,3,0,0,F@0.5+O@0.5[m=4];F@0.5+O@0.5[m=2];F@0.5+O@0.5[m=2],manual_review,5,0,,Li28 Nd10 Si22 N38 O14 F4,116,1,0.0,0,0,1.21529656,O-Si,0.68660823,O-Si,2.32638736,radius_ratio<0.75,5,OBELIX/ordered_cifs/erro/472_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75）
47i.cif,47i,Li8 P4 O14,True,26,26,26,26,ok,,<1E-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/47i_ordered.cif,Li8 P4 O14,26,,0.0,0,0,1.35914962,O-P,0.78563562,O-P,2.68587823,,0,,原始 CIF 已完全有序，并通过几何检查
4ba.cif,4ba,Li6 Ge12 P18 O72,True,108,108,36,36,ok,,3.33e-07,False,0,0,0,0,,0,0,0,,manual_review,1,0,,Li2 Ge4 P6 O24,36,,0.0,0,0,1.27426174,O-P,0.73656748,O-P,5.87066247,radius_ratio<0.75,1,OBELIX/ordered_cifs/erro/4ba_ordered.cif,原始 CIF 已有序，但未通过几何检查（0/1 个候选通过；原因：radius_ratio<0.75）
4ea.cif,4ea,Li6 Ti2.4 Sn9.6 P18 O72,False,108,108,36,36,ok,,3.15e-06,True,2,1,12,2,Sn;Ti,1,0,0,Sn@0.8+Ti@0.2[m=12],manual_review,1,0,,Li2 Ti1 Sn3 P6 O24,36,1,0.005555555555555564,0,0,1.11205679,O-P,0.64280739,O-P,6.11500370,radius_ratio<0.75,1,OBELIX/ordered_cifs/erro/4ea_ordered.cif,未通过几何检查（0/1 个候选通过；原因：radius_ratio<0.75）
4ie.cif,4ie,Li47.28 La24 Zr16 Ga4.56 O94.368 F1.632,False,256,187.84,128,93.92,ok,,0.00128,True,5,3,216,4,F;Ga;Li;O,2,1,0,Li@0.29[m=96];Ga@0.19+Li@0.81[m=24];F@0.017+O@0.983[m=96],manual_review,5,0,,Li24 La12 Zr8 Ga2 O47 F1,94,1,0.002385008517887477,0,0,1.62981742,Li-Li,0.63664743,Li-Li,1.62981742,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/4ie_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
4kt.cif,4kt,Li8 Cr4 Cl16,True,28,28,14,14,ok,,<1E-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/4kt_ordered.cif,Li4 Cr2 Cl8,14,,0.0,0,0,2.04356486,Cl-Li,0.88850646,Cl-Li,3.65393755,,0,,原始 CIF 已完全有序，并通过几何检查
4p7.cif,4p7,Li3 Cl1 O1,True,5,5,5,5,ok,,0.025,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/4p7_ordered.cif,Li3 Cl1 O1,5,,0.0,0,0,1.95416850,Li-O,1.00730335,Li-O,2.76361160,,0,,原始 CIF 已完全有序，并通过几何检查
4xq.cif,4xq,Na0.46 Li0.04 La0.5 Nb2 O4,False,7,7,7,7,ok,,5.91e-06,True,3,1,1,3,La;Li;Na,1,0,0,La@0.5+Li@0.04+Na@0.46[m=1],geometry_ok,5,5,OBELIX/ordered_cifs/4xq_ordered.cif,Na4 Li1 La5 Nb20 O40,70,10,0.008571428571428572,0,0,1.96147587,Nb-O,0.85281560,Nb-O,,,0,,成功有序化（5/5 个候选通过几何检查）
5bz.cif,5bz,Li12 B4 N8,True,24,24,24,24,ok,,8.7e-08,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/5bz_ordered.cif,Li12 B4 N8,24,,0.0,0,0,1.24194764,B-N,0.80125654,B-N,2.41718975,,0,,原始 CIF 已完全有序，并通过几何检查
5tl.cif,5tl,La1.24 Ti2 O6,False,10,9.24,10,9.24,ok,,0.000442,True,2,2,2,1,La,0,2,0,La@0.95[m=1];La@0.29[m=1],geometry_ok,1,1,OBELIX/ordered_cifs/5tl_ordered.cif,La4 Ti6 O18,28,3,0.008658008658008642,0,0,1.75949675,O-Ti,0.77853839,O-Ti,,,0,,成功有序化（1/1 个候选通过几何检查）
5wz.cif,5wz,Li24 P4 S20 I4,False,100,52,25,13,ok,,1.26e-06,True,2,2,72,1,Li,0,2,0,Li@0.37[m=48];Li@0.26[m=24],geometry_ok,5,5,OBELIX/ordered_cifs/5wz_ordered.cif,Li12 P2 S10 I2,26,2,0.0,0,6,1.84075534,P-S,0.86828082,P-S,2.36798322,,0,,成功有序化（5/5 个候选通过几何检查）
5z0.cif,5z0,Li40 Al8 O32,True,80,80,80,80,ok,,5e-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/5z0_ordered.cif,Li40 Al8 O32,80,,0.0,0,0,1.66193153,Li-O,0.85666574,Li-O,2.20385095,,0,,原始 CIF 已完全有序，并通过几何检查
5zv.cif,5zv,Li16 Zn4 P8 O32,True,60,60,60,60,ok,,5.55e-18,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/5zv_ordered.cif,Li16 Zn4 P8 O32,60,,0.0,0,0,1.50739312,O-P,0.87132550,O-P,2.68191380,,0,,原始 CIF 已完全有序，并通过几何检查
68u.cif,68u,Li40.008 La24 Nb16 O96,False,184,176.008,92,88.004,ok,,8e-06,True,1,1,24,1,Li,0,1,0,Li@0.667[m=24],geometry_ok,5,5,OBELIX/ordered_cifs/68u_ordered.cif,Li20 La12 Nb8 O48,88,1,0.0,0,0,1.86632031,Li-O,0.75134737,La-Li,2.48492579,,0,,成功有序化（5/5 个候选通过几何检查）
6du.cif,6du,Li10.14118681 Mg0.79987213 Ti13.05894106 O32,False,56,56,14,14,ok,,1.73e-08,True,5,2,24,3,Li;Mg;Ti,2,0,0,Li@0.916+Mg@0.084[m=8];Li@0.17582418+Mg@0.007992008+Ti@0.81618382[m=16],geometry_ok,5,5,OBELIX/ordered_cifs/6du_ordered.cif,Li10 Mg1 Ti13 O32,56,4,0.0035737120022834284,0,0,1.97408236,Li-O,0.87348777,O-Ti,2.95743876,,0,,成功有序化（5/5 个候选通过几何检查）
6jf.cif,6jf,Li24.024 P4 S20 Br4.0,False,100,52.024,25,13.006,ok,,0.00115,True,6,4,80,3,Br;Li;S,2,2,0,Li@0.441[m=48];Li@0.119[m=24];Br@0.14+S@0.86[m=4];Br@0.86+S@0.14[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/6jf_ordered.cif,Li36 P6 S30 Br6,78,6,0.0,0,6,1.91132673,P-S,0.90156921,P-S,2.46022930,,0,,成功有序化（5/5 个候选通过几何检查）
6l9.cif,6l9,Li32.6 B56 Cl8 O96,False,216,192.6,54,48.15,ok,,2e-06,True,2,2,56,1,Li,0,2,0,Li@0.316[m=32];Li@0.937[m=24],geometry_ok,5,5,OBELIX/ordered_cifs/6l9_ordered.cif,Li16 B28 Cl4 O48,96,2,0.0,0,0,1.37258979,B-O,0.91505986,B-O,2.56788477,,0,,成功有序化（5/5 个候选通过几何检查）
72f.cif,72f,Li50.064 La24 Zr16 Al1.92 O96,False,256,187.984,128,93.992,ok,,0.00021,True,3,2,120,2,Al;Li,0,2,0,Li@0.349[m=96];Al@0.08+Li@0.69[m=24],manual_review,5,0,,Li25 La12 Zr8 Al1 O48,94,1,0.00042466266934442984,0,0,0.86433351,Li-Li,0.33763028,Li-Li,0.86433351,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/72f_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
7cr.cif,7cr,Na2 Li4 B2 P4 O16,True,28,28,28,28,ok,,4.4e-18,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/7cr_ordered.cif,Na2 Li4 B2 P4 O16,28,,0.0,0,0,1.28601893,B-O,0.77150379,O-P,2.44462718,,0,,原始 CIF 已完全有序，并通过几何检查
7e5.cif,7e5,Li0.2 La2.6 Mg2 W2 O12,False,20,18.8,20,18.8,ok,,1.8e-07,True,3,2,4,2,La;Li,0,2,0,La@0.335+Li@0.1[m=2];La@0.965[m=2],manual_review,5,0,,Li1 La13 Mg10 W10 O60,94,5,1.1102230246251565e-16,0,0,1.67565902,O-W,0.73493817,O-W,,radius_ratio<0.75,5,OBELIX/ordered_cifs/erro/7e5_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75）
7ek.cif,7ek,Li14.8 Ge3.4 W0.6 O16,False,56,34.8,56,34.8,ok,,3.8e-05,True,8,7,40,3,Ge;Li;W,1,6,0,Li@0.39[m=4];Li@0.27[m=8];Li@0.4[m=8];Li@0.6[m=8];Li@0.61[m=4];Li@0.16[m=4];Ge@0.85+W@0.15[m=4],manual_review,5,0,,Li29 Ge7 W1 O32,69,2,0.0049975012493753135,4,0,1.30461176,Li-O,0.51649868,Li-Li,1.32223663,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/7ek_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
7o7.cif,7o7,Ba7.9992 Li48.0 La16.0008 Ta16 O96,False,208,184,104,92,ok,,2.95e-05,True,4,3,96,3,Ba;La;Li,1,2,0,Li@0.705[m=48];Li@0.59[m=24];Ba@0.3333+La@0.6667[m=24],geometry_ok,5,5,OBELIX/ordered_cifs/7o7_ordered.cif,Ba4 Li24 La8 Ta8 O48,92,1,0.0,0,0,1.83476043,O-Ta,0.77727014,Li-Li,1.98981157,,0,,成功有序化（5/5 个候选通过几何检查）
7tu.cif,7tu,Li20.4 Si2 Sn0.5 P3.5 S24,False,62,50.4,62,50.4,ok,,0.00782,True,6,4,32,4,Li;P;Si;Sn,1,3,0,Li@0.78[m=4];Li@0.43[m=16];Li@0.8[m=8];P@0.375+Si@0.5+Sn@0.125[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/7tu_ordered.cif,Li41 Si4 Sn1 P7 S48,101,2,0.0011786892975012009,0,0,1.95076156,Li-Li,0.76201623,Li-Li,1.95076156,,0,,成功有序化（5/5 个候选通过几何检查）
